ats_id,native_index,source,permeability [m^2],porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],residual saturation [-],thickness [m]
100,"(715639, 715796, 726604, 726608)",GLHYMPS,6.309573444801943e-16,0.19,2.5117434929522858e-05,2.0,0.01,
101,"(715779, 726642, 726664)",GLHYMPS,3.162277660168379e-13,0.09,0.0008170165079009431,2.0,0.01,
102,"(715766, 726639, 726667)",GLHYMPS,1e-13,0.22,0.0002938601837970351,2.0,0.01,
103,"(730801,)",GLHYMPS,3.019951720402019e-11,0.01,0.023952568249684173,2.0,0.01,
1000,"(509733,)",NRCS,2.279758629254678e-13,0.2655633802816901,9.209439267219706e-05,1.3199163021179214,0.2402694998853142,1.52
1001,"(509477,)",NRCS,2.7340803917638113e-12,0.15973684210526318,0.0001392419520825728,1.4575586155822173,0.18159777796148,1.52
1002,"(498205, 498206)",NRCS,1.184189303385959e-12,0.18598639455782312,7.057922807760494e-05,1.4209380604413433,0.20831550925336687,1.52
1003,"(509548,)",NRCS,7.331978922150955e-13,0.4032183908045977,5.9035461676969996e-05,1.4167836230442026,0.21328538673446962,1.07
1004,"(509529,)",NRCS,3.0390952015214637e-12,0.428778677462888,0.0001026543688119325,1.3831799624365897,0.17513328104887463,1.52
1005,"(509532,)",NRCS,3.1724153179438574e-12,0.3783646251612003,7.944646672657235e-05,1.3745400709853905,0.23088513044942507,1.25
1006,"(509482,)",NRCS,4.654687367241032e-12,0.36988572438039957,9.203724925853619e-05,1.397759987077365,0.20787742436879264,1.205
1007,"(498208,)",NRCS,9.122162142274364e-13,0.23742260061919507,7.1744734649442e-05,1.395746218854811,0.21959738622700128,1.52
1008,"(509559,)",NRCS,2.3755228508729357e-13,0.2716301169590643,7.899588884215695e-05,1.3404291036105784,0.24180143335989296,1.52
1009,"(498231,)",NRCS,5.850942027078012e-12,0.3561631796823382,0.00015698480102474817,1.4060906961928614,0.19681129313715476,1.52
1010,"(509513,)",NRCS,1.5266822192331274e-12,0.18223780959752323,8.713376410632949e-05,1.4225780911772934,0.19978346757735418,1.52
1011,"(509794,)",NRCS,2.0065358522194032e-12,0.19334978070175438,0.00010383500882900285,1.4336851811342524,0.18931355161176988,1.52
1012,"(509479, 509481)",NRCS,7.504374491667425e-13,0.15125,7.803280706554551e-05,1.410009901218671,0.210870448733591,0.618125
1013,"(498185,)",NRCS,1.5907769355691275e-13,0.21862464193744396,8.071673371885555e-05,1.332817348680837,0.24666479852199844,1.3964705882352941
1014,"(509514,)",NRCS,5.262229276068537e-12,0.4497523762650343,0.00022052750437761008,1.7620720161029442,0.15736573141848026,0.86
1015,"(509561,)",NRCS,1.5540904547671686e-12,0.4152448130263726,0.00014037160612403624,1.3674082639380232,0.22096220194263014,1.52
999,"(999,)",SoilGrids,1e-16,0.05,1.9492479409592813e-05,3.0,0.01,
